"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jun 29 19:23:39 GMT 2022","Wed Jun 29 19:23:39 GMT 2022","210","Gradle suite","Gradle test","com.jalasoft.todoly.user.UserBugs","com.jalasoft.todoly.user.UserBugs","userInvalidRequestBug","userInvalidRequestBug",""
"passed","Wed Jun 29 19:23:20 GMT 2022","Wed Jun 29 19:23:20 GMT 2022","294","Gradle suite","Gradle test","com.jalasoft.todoly.authentication.AuthenticationTests","com.jalasoft.todoly.authentication.AuthenticationTests","getTokenWithBasicAuthentication","getTokenWithBasicAuthentication",""
"passed","Wed Jun 29 19:23:31 GMT 2022","Wed Jun 29 19:23:31 GMT 2022","254","Gradle suite","Gradle test","com.jalasoft.todoly.items.ItemTests","com.jalasoft.todoly.items.ItemTests","updateItemById","updateItemById",""
"passed","Wed Jun 29 19:23:41 GMT 2022","Wed Jun 29 19:23:41 GMT 2022","217","Gradle suite","Gradle test","com.jalasoft.todoly.user.UserTest","com.jalasoft.todoly.user.UserTest","getUser","getUser",""
"failed","Wed Jun 29 19:23:39 GMT 2022","Wed Jun 29 19:23:39 GMT 2022","256","Gradle suite","Gradle test","com.jalasoft.todoly.user.UserBugs","com.jalasoft.todoly.user.UserBugs","userPostWithIncorrectPayloadBug","userPostWithIncorrectPayloadBug",""
"passed","Wed Jun 29 19:23:20 GMT 2022","Wed Jun 29 19:23:21 GMT 2022","303","Gradle suite","Gradle test","com.jalasoft.todoly.authentication.AuthenticationTests","com.jalasoft.todoly.authentication.AuthenticationTests","getTokenWithNonExistentUserName","getTokenWithNonExistentUserName",""
"passed","Wed Jun 29 19:23:42 GMT 2022","Wed Jun 29 19:23:43 GMT 2022","227","Gradle suite","Gradle test","com.jalasoft.todoly.filters.FiltersInvalidIdTests","com.jalasoft.todoly.filters.FiltersInvalidIdTests","getFiltersByIdWithInvalidId","getFiltersByIdWithInvalidId",""
"passed","Wed Jun 29 19:23:43 GMT 2022","Wed Jun 29 19:23:44 GMT 2022","234","Gradle suite","Gradle test","com.jalasoft.todoly.filters.FiltersUnauthorizedTests","com.jalasoft.todoly.filters.FiltersUnauthorizedTests","getFiltersById","getFiltersById",""
"failed","Wed Jun 29 19:23:38 GMT 2022","Wed Jun 29 19:23:38 GMT 2022","260","Gradle suite","Gradle test","com.jalasoft.todoly.projects.UpdateProjectByIdTest","com.jalasoft.todoly.projects.UpdateProjectByIdTest","updateProjectByIdWithEmptyContent","updateProjectByIdWithEmptyContent",""
"passed","Wed Jun 29 19:23:31 GMT 2022","Wed Jun 29 19:23:31 GMT 2022","261","Gradle suite","Gradle test","com.jalasoft.todoly.items.ItemTests","com.jalasoft.todoly.items.ItemTests","getItemById","getItemById",""
