"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 29 15:28:52 GMT 2022","Wed Jun 29 15:28:53 GMT 2022","482","Gradle suite","Gradle test","com.jalasoft.todoly.items.ErrorMessageTests","com.jalasoft.todoly.items.ErrorMessageTests","tooShortItemName","tooShortItemName",""
"passed","Wed Jun 29 15:28:46 GMT 2022","Wed Jun 29 15:28:47 GMT 2022","508","Gradle suite","Gradle test","com.jalasoft.todoly.authentication.AuthenticationTests","com.jalasoft.todoly.authentication.AuthenticationTests","getTokenWithNonExistentUserName","getTokenWithNonExistentUserName",""
"passed","Wed Jun 29 15:28:55 GMT 2022","Wed Jun 29 15:28:56 GMT 2022","515","Gradle suite","Gradle test","com.jalasoft.todoly.items.GetDoneRootItemByChildIdTest","com.jalasoft.todoly.items.GetDoneRootItemByChildIdTest","getDoneRootItemByChildID","getDoneRootItemByChildID",""
"passed","Wed Jun 29 15:29:16 GMT 2022","Wed Jun 29 15:29:17 GMT 2022","460","Gradle suite","Gradle test","com.jalasoft.todoly.projects.ProjectUnauthorizedTests","com.jalasoft.todoly.projects.ProjectUnauthorizedTests","getAllProjectsInvalidPassword","getAllProjectsInvalidPassword",""
"passed","Wed Jun 29 15:29:15 GMT 2022","Wed Jun 29 15:29:16 GMT 2022","508","Gradle suite","Gradle test","com.jalasoft.todoly.projects.GetProjectByIdTests","com.jalasoft.todoly.projects.GetProjectByIdTests","getProjectById","getProjectById",""
"passed","Wed Jun 29 15:28:43 GMT 2022","Wed Jun 29 15:28:45 GMT 2022","1036","Gradle suite","Gradle test","com.jalasoft.todoly.authentication.AuthenticationTests","com.jalasoft.todoly.authentication.AuthenticationTests","deleteTokenWithBasicAuthentication","deleteTokenWithBasicAuthentication",""
"passed","Wed Jun 29 15:28:52 GMT 2022","Wed Jun 29 15:28:52 GMT 2022","478","Gradle suite","Gradle test","com.jalasoft.todoly.items.ErrorMessageTests","com.jalasoft.todoly.items.ErrorMessageTests","invalidParentItemId","invalidParentItemId",""
"passed","Wed Jun 29 15:29:27 GMT 2022","Wed Jun 29 15:29:27 GMT 2022","466","Gradle suite","Gradle test","com.jalasoft.todoly.filters.DoneItemsOfAFilterTests","com.jalasoft.todoly.filters.DoneItemsOfAFilterTests","getDoneItemsOfAFilter","getDoneItemsOfAFilter",""
"passed","Wed Jun 29 15:28:47 GMT 2022","Wed Jun 29 15:28:47 GMT 2022","514","Gradle suite","Gradle test","com.jalasoft.todoly.authentication.AuthenticationTests","com.jalasoft.todoly.authentication.AuthenticationTests","getTokenWithUserNameAndInvalidPassword","getTokenWithUserNameAndInvalidPassword",""
"passed","Wed Jun 29 15:29:23 GMT 2022","Wed Jun 29 15:29:24 GMT 2022","487","Gradle suite","Gradle test","com.jalasoft.todoly.user.UserErrorCodesTest","com.jalasoft.todoly.user.UserErrorCodesTest","userNotAuthenticated","userNotAuthenticated",""
"broken","Wed Jun 29 15:28:45 GMT 2022","Wed Jun 29 15:28:46 GMT 2022","1044","Gradle suite","Gradle test","com.jalasoft.todoly.authentication.AuthenticationTests","com.jalasoft.todoly.authentication.AuthenticationTests","deleteTokenWithoutAuthentication","deleteTokenWithoutAuthentication",""
"passed","Wed Jun 29 15:29:13 GMT 2022","Wed Jun 29 15:29:14 GMT 2022","988","Gradle suite","Gradle test","com.jalasoft.todoly.projects.GetItemsOfAProjectTests","com.jalasoft.todoly.projects.GetItemsOfAProjectTests","getItemsOfAProjectById","getItemsOfAProjectById",""
"broken","Wed Jun 29 15:29:00 GMT 2022","Wed Jun 29 15:29:01 GMT 2022","439","Gradle suite","Gradle test","com.jalasoft.todoly.items.ItemBugs","com.jalasoft.todoly.items.ItemBugs","getItemByIdWithNegativeId","getItemByIdWithNegativeId",""
"passed","Wed Jun 29 15:28:49 GMT 2022","Wed Jun 29 15:28:49 GMT 2022","529","Gradle suite","Gradle test","com.jalasoft.todoly.icons.IconsTests","com.jalasoft.todoly.icons.IconsTests","getIconById","getIconById",""
"passed","Wed Jun 29 15:29:31 GMT 2022","Wed Jun 29 15:29:31 GMT 2022","511","Gradle suite","Gradle test","com.jalasoft.todoly.filters.FiltersUnauthorizedTests","com.jalasoft.todoly.filters.FiltersUnauthorizedTests","getItemsOfAFilter","getItemsOfAFilter",""
"passed","Wed Jun 29 15:29:09 GMT 2022","Wed Jun 29 15:29:09 GMT 2022","519","Gradle suite","Gradle test","com.jalasoft.todoly.projects.DeleteProjectByIdTests","com.jalasoft.todoly.projects.DeleteProjectByIdTests","deleteProjectById","deleteProjectById",""
