"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 29 15:29:53 GMT 2022","Wed Jun 29 15:29:53 GMT 2022","329","Gradle suite","Gradle test","com.jalasoft.todoly.user.UserTest","com.jalasoft.todoly.user.UserTest","updateUser","updateUser",""
"passed","Wed Jun 29 15:29:52 GMT 2022","Wed Jun 29 15:29:53 GMT 2022","308","Gradle suite","Gradle test","com.jalasoft.todoly.user.UserTest","com.jalasoft.todoly.user.UserTest","getUser","getUser",""
"failed","Wed Jun 29 15:29:49 GMT 2022","Wed Jun 29 15:29:50 GMT 2022","293","Gradle suite","Gradle test","com.jalasoft.todoly.user.UserBugs","com.jalasoft.todoly.user.UserBugs","userInvalidRequestBug","userInvalidRequestBug",""
"passed","Wed Jun 29 15:29:26 GMT 2022","Wed Jun 29 15:29:27 GMT 2022","337","Gradle suite","Gradle test","com.jalasoft.todoly.authentication.AuthenticationTests","com.jalasoft.todoly.authentication.AuthenticationTests","getTokenWithUserNameAndInvalidPassword","getTokenWithUserNameAndInvalidPassword",""
"passed","Wed Jun 29 15:29:40 GMT 2022","Wed Jun 29 15:29:40 GMT 2022","349","Gradle suite","Gradle test","com.jalasoft.todoly.projects.CreateNewProjectTests","com.jalasoft.todoly.projects.CreateNewProjectTests","createNewProject","createNewProject",""
"passed","Wed Jun 29 15:29:47 GMT 2022","Wed Jun 29 15:29:47 GMT 2022","326","Gradle suite","Gradle test","com.jalasoft.todoly.projects.ProjectUnauthorizedTests","com.jalasoft.todoly.projects.ProjectUnauthorizedTests","getAllProjectsInvalidUserName","getAllProjectsInvalidUserName",""
"passed","Wed Jun 29 15:29:24 GMT 2022","Wed Jun 29 15:29:25 GMT 2022","695","Gradle suite","Gradle test","com.jalasoft.todoly.authentication.AuthenticationTests","com.jalasoft.todoly.authentication.AuthenticationTests","deleteTokenWithBasicAuthentication","deleteTokenWithBasicAuthentication",""
"passed","Wed Jun 29 15:29:47 GMT 2022","Wed Jun 29 15:29:48 GMT 2022","336","Gradle suite","Gradle test","com.jalasoft.todoly.projects.UpdateProjectByIdTest","com.jalasoft.todoly.projects.UpdateProjectByIdTest","updateProjectById","updateProjectById",""
"passed","Wed Jun 29 15:29:54 GMT 2022","Wed Jun 29 15:29:54 GMT 2022","313","Gradle suite","Gradle test","com.jalasoft.todoly.filters.FiltersInvalidIdTests","com.jalasoft.todoly.filters.FiltersInvalidIdTests","getDoneItemsOfAFilterWithInvalidId","getDoneItemsOfAFilterWithInvalidId",""
"passed","Wed Jun 29 15:29:23 GMT 2022","Wed Jun 29 15:29:24 GMT 2022","1272","Gradle suite","Gradle test","com.jalasoft.todoly.authentication.AuthenticationTests","com.jalasoft.todoly.authentication.AuthenticationTests","deleteInvalidTokenWithBasicAuthentication","deleteInvalidTokenWithBasicAuthentication",""
