"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 27 16:56:56 GMT 2022","Mon Jun 27 16:56:57 GMT 2022","544","Gradle suite","Gradle test","com.jalasoft.todoly.icons.IconsTests","com.jalasoft.todoly.icons.IconsTests","getIconByIdWithoutAuthentication","getIconByIdWithoutAuthentication",""
"passed","Mon Jun 27 16:57:20 GMT 2022","Mon Jun 27 16:57:20 GMT 2022","474","Gradle suite","Gradle test","com.jalasoft.todoly.filters.FiltersUnauthorizedTests","com.jalasoft.todoly.filters.FiltersUnauthorizedTests","getAllFilters","getAllFilters",""
"passed","Mon Jun 27 16:57:21 GMT 2022","Mon Jun 27 16:57:22 GMT 2022","479","Gradle suite","Gradle test","com.jalasoft.todoly.filters.ItemsOfAFilterTests","com.jalasoft.todoly.filters.ItemsOfAFilterTests","getAllItemsOfFilter","getAllItemsOfFilter",""
"passed","Mon Jun 27 16:57:14 GMT 2022","Mon Jun 27 16:57:14 GMT 2022","507","Gradle suite","Gradle test","com.jalasoft.todoly.user.UserErrorCodesTest","com.jalasoft.todoly.user.UserErrorCodesTest","userNotAuthenticated","userNotAuthenticated",""
"passed","Mon Jun 27 16:56:50 GMT 2022","Mon Jun 27 16:56:51 GMT 2022","1036","Gradle suite","Gradle test","com.jalasoft.todoly.authentication.AuthenticationTests","com.jalasoft.todoly.authentication.AuthenticationTests","deleteTokenWithBasicAuthentication","deleteTokenWithBasicAuthentication",""
"passed","Mon Jun 27 16:57:17 GMT 2022","Mon Jun 27 16:57:17 GMT 2022","455","Gradle suite","Gradle test","com.jalasoft.todoly.filters.DoneItemsOfAFilterTests","com.jalasoft.todoly.filters.DoneItemsOfAFilterTests","getDoneItemsOfAFilter","getDoneItemsOfAFilter",""
"failed","Mon Jun 27 16:57:09 GMT 2022","Mon Jun 27 16:57:10 GMT 2022","484","Gradle suite","Gradle test","com.jalasoft.todoly.projects.UpdateProjectByIdTest","com.jalasoft.todoly.projects.UpdateProjectByIdTest","updateProjectByIdWithEmptyContent","updateProjectByIdWithEmptyContent",""
"passed","Mon Jun 27 16:56:55 GMT 2022","Mon Jun 27 16:56:56 GMT 2022","509","Gradle suite","Gradle test","com.jalasoft.todoly.icons.IconsTests","com.jalasoft.todoly.icons.IconsTests","getIconById","getIconById",""
"passed","Mon Jun 27 16:56:48 GMT 2022","Mon Jun 27 16:56:48 GMT 2022","477","Gradle suite","Gradle test","com.jalasoft.todoly.authentication.AuthenticationTests","com.jalasoft.todoly.authentication.AuthenticationTests","basicAuthenticationWithNonExistentUsername","basicAuthenticationWithNonExistentUsername",""
"passed","Mon Jun 27 16:57:16 GMT 2022","Mon Jun 27 16:57:17 GMT 2022","492","Gradle suite","Gradle test","com.jalasoft.todoly.user.UserTest","com.jalasoft.todoly.user.UserTest","updateUser","updateUser",""
"failed","Mon Jun 27 16:56:56 GMT 2022","Mon Jun 27 16:56:56 GMT 2022","502","Gradle suite","Gradle test","com.jalasoft.todoly.icons.IconsTests","com.jalasoft.todoly.icons.IconsTests","getIconByIdWithInvalidId","getIconByIdWithInvalidId",""
"passed","Mon Jun 27 16:57:00 GMT 2022","Mon Jun 27 16:57:01 GMT 2022","475","Gradle suite","Gradle test","com.jalasoft.todoly.projects.GetAllProjectsTests","com.jalasoft.todoly.projects.GetAllProjectsTests","getAllProjects","getAllProjects",""
"failed","Mon Jun 27 16:57:12 GMT 2022","Mon Jun 27 16:57:13 GMT 2022","481","Gradle suite","Gradle test","com.jalasoft.todoly.user.UserBugs","com.jalasoft.todoly.user.UserBugs","userPostWithIncorrectPayloadBug","userPostWithIncorrectPayloadBug",""
"passed","Mon Jun 27 16:56:52 GMT 2022","Mon Jun 27 16:56:53 GMT 2022","505","Gradle suite","Gradle test","com.jalasoft.todoly.authentication.AuthenticationTests","com.jalasoft.todoly.authentication.AuthenticationTests","getTokenWithBasicAuthentication","getTokenWithBasicAuthentication",""
"passed","Mon Jun 27 16:57:16 GMT 2022","Mon Jun 27 16:57:16 GMT 2022","481","Gradle suite","Gradle test","com.jalasoft.todoly.user.UserTest","com.jalasoft.todoly.user.UserTest","getUser","getUser",""
"passed","Mon Jun 27 16:57:07 GMT 2022","Mon Jun 27 16:57:08 GMT 2022","507","Gradle suite","Gradle test","com.jalasoft.todoly.projects.ProjectUnauthorizedTests","com.jalasoft.todoly.projects.ProjectUnauthorizedTests","getAllProjectsInvalidUserName","getAllProjectsInvalidUserName",""
"passed","Mon Jun 27 16:57:04 GMT 2022","Mon Jun 27 16:57:05 GMT 2022","1009","Gradle suite","Gradle test","com.jalasoft.todoly.projects.GetItemsOfAProjectTests","com.jalasoft.todoly.projects.GetItemsOfAProjectTests","getItemsOfAProjectById","getItemsOfAProjectById",""
"passed","Mon Jun 27 16:57:20 GMT 2022","Mon Jun 27 16:57:21 GMT 2022","508","Gradle suite","Gradle test","com.jalasoft.todoly.filters.FiltersUnauthorizedTests","com.jalasoft.todoly.filters.FiltersUnauthorizedTests","getDoneItemsOfAFilter","getDoneItemsOfAFilter",""
"failed","Mon Jun 27 16:57:11 GMT 2022","Mon Jun 27 16:57:11 GMT 2022","477","Gradle suite","Gradle test","com.jalasoft.todoly.user.UserBugs","com.jalasoft.todoly.user.UserBugs","userContentLowerCaseBug","userContentLowerCaseBug",""
"passed","Mon Jun 27 16:57:13 GMT 2022","Mon Jun 27 16:57:13 GMT 2022","487","Gradle suite","Gradle test","com.jalasoft.todoly.user.UserErrorCodesTest","com.jalasoft.todoly.user.UserErrorCodesTest","userAccountAlreadyExists","userAccountAlreadyExists",""
"passed","Mon Jun 27 16:57:07 GMT 2022","Mon Jun 27 16:57:07 GMT 2022","451","Gradle suite","Gradle test","com.jalasoft.todoly.projects.ProjectUnauthorizedTests","com.jalasoft.todoly.projects.ProjectUnauthorizedTests","getAllProjectsInvalidPassword","getAllProjectsInvalidPassword",""
"passed","Mon Jun 27 16:57:06 GMT 2022","Mon Jun 27 16:57:06 GMT 2022","509","Gradle suite","Gradle test","com.jalasoft.todoly.projects.GetProjectByIdTests","com.jalasoft.todoly.projects.GetProjectByIdTests","getProjectById","getProjectById",""
"passed","Mon Jun 27 16:56:57 GMT 2022","Mon Jun 27 16:56:58 GMT 2022","735","Gradle suite","Gradle test","com.jalasoft.todoly.projects.CreateNewProjectTests","com.jalasoft.todoly.projects.CreateNewProjectTests","createNewProject","createNewProject",""
"failed","Mon Jun 27 16:57:12 GMT 2022","Mon Jun 27 16:57:12 GMT 2022","473","Gradle suite","Gradle test","com.jalasoft.todoly.user.UserBugs","com.jalasoft.todoly.user.UserBugs","userInvalidRequestBug","userInvalidRequestBug",""
"passed","Mon Jun 27 16:56:58 GMT 2022","Mon Jun 27 16:56:58 GMT 2022","479","Gradle suite","Gradle test","com.jalasoft.todoly.projects.CreateNewProjectTests","com.jalasoft.todoly.projects.CreateNewProjectTests","createNewProjectEmptyContent","createNewProjectEmptyContent",""
"passed","Mon Jun 27 16:56:54 GMT 2022","Mon Jun 27 16:56:54 GMT 2022","460","Gradle suite","Gradle test","com.jalasoft.todoly.authentication.AuthenticationTests","com.jalasoft.todoly.authentication.AuthenticationTests","getTokenWithoutAuthentication","getTokenWithoutAuthentication",""
"passed","Mon Jun 27 16:56:46 GMT 2022","Mon Jun 27 16:56:48 GMT 2022","1537","Gradle suite","Gradle test","com.jalasoft.todoly.authentication.AuthenticationTests","com.jalasoft.todoly.authentication.AuthenticationTests","basicAuthentication","basicAuthentication",""
"passed","Mon Jun 27 16:57:17 GMT 2022","Mon Jun 27 16:57:18 GMT 2022","643","Gradle suite","Gradle test","com.jalasoft.todoly.filters.FiltersByIdTests","com.jalasoft.todoly.filters.FiltersByIdTests","getFiltersById","getFiltersById",""
"passed","Mon Jun 27 16:57:00 GMT 2022","Mon Jun 27 16:57:00 GMT 2022","514","Gradle suite","Gradle test","com.jalasoft.todoly.projects.DeleteProjectByIdTests","com.jalasoft.todoly.projects.DeleteProjectByIdTests","deleteProjectByIdNonExistentId","deleteProjectByIdNonExistentId",""
"passed","Mon Jun 27 16:57:13 GMT 2022","Mon Jun 27 16:57:14 GMT 2022","484","Gradle suite","Gradle test","com.jalasoft.todoly.user.UserErrorCodesTest","com.jalasoft.todoly.user.UserErrorCodesTest","userInvalidFullName","userInvalidFullName",""
"passed","Mon Jun 27 16:57:21 GMT 2022","Mon Jun 27 16:57:21 GMT 2022","447","Gradle suite","Gradle test","com.jalasoft.todoly.filters.FiltersUnauthorizedTests","com.jalasoft.todoly.filters.FiltersUnauthorizedTests","getItemsOfAFilter","getItemsOfAFilter",""
