"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jun 29 20:17:53 GMT 2022","Wed Jun 29 20:17:53 GMT 2022","180","Gradle suite","Gradle test","com.jalasoft.todoly.items.ItemBugs","com.jalasoft.todoly.items.ItemBugs","getItemByIdWithNonExistentId","getItemByIdWithNonExistentId",""
"failed","Wed Jun 29 20:18:02 GMT 2022","Wed Jun 29 20:18:02 GMT 2022","187","Gradle suite","Gradle test","com.jalasoft.todoly.user.UserBugs","com.jalasoft.todoly.user.UserBugs","userPostWithIncorrectPayloadBug","userPostWithIncorrectPayloadBug",""
"passed","Wed Jun 29 20:18:06 GMT 2022","Wed Jun 29 20:18:06 GMT 2022","188","Gradle suite","Gradle test","com.jalasoft.todoly.filters.ItemsOfAFilterTests","com.jalasoft.todoly.filters.ItemsOfAFilterTests","getAllItemsOfFilter","getAllItemsOfFilter",""
"passed","Wed Jun 29 20:17:47 GMT 2022","Wed Jun 29 20:17:47 GMT 2022","238","Gradle suite","Gradle test","com.jalasoft.todoly.authentication.AuthenticationTests","com.jalasoft.todoly.authentication.AuthenticationTests","getTokenWithNonExistentUserName","getTokenWithNonExistentUserName",""
"passed","Wed Jun 29 20:18:01 GMT 2022","Wed Jun 29 20:18:01 GMT 2022","206","Gradle suite","Gradle test","com.jalasoft.todoly.projects.UpdateProjectByIdTest","com.jalasoft.todoly.projects.UpdateProjectByIdTest","updateProjectById","updateProjectById",""
"failed","Wed Jun 29 20:18:01 GMT 2022","Wed Jun 29 20:18:01 GMT 2022","214","Gradle suite","Gradle test","com.jalasoft.todoly.projects.UpdateProjectByIdTest","com.jalasoft.todoly.projects.UpdateProjectByIdTest","updateProjectByIdWithEmptyContent","updateProjectByIdWithEmptyContent",""
"passed","Wed Jun 29 20:17:56 GMT 2022","Wed Jun 29 20:17:56 GMT 2022","215","Gradle suite","Gradle test","com.jalasoft.todoly.projects.CreateNewProjectTests","com.jalasoft.todoly.projects.CreateNewProjectTests","createNewProject","createNewProject",""
"failed","Wed Jun 29 20:18:02 GMT 2022","Wed Jun 29 20:18:02 GMT 2022","207","Gradle suite","Gradle test","com.jalasoft.todoly.user.UserBugs","com.jalasoft.todoly.user.UserBugs","userContentLowerCaseBug","userContentLowerCaseBug",""
"passed","Wed Jun 29 20:18:05 GMT 2022","Wed Jun 29 20:18:05 GMT 2022","184","Gradle suite","Gradle test","com.jalasoft.todoly.filters.FiltersUnauthorizedTests","com.jalasoft.todoly.filters.FiltersUnauthorizedTests","getDoneItemsOfAFilter","getDoneItemsOfAFilter",""
"passed","Wed Jun 29 20:18:00 GMT 2022","Wed Jun 29 20:18:00 GMT 2022","221","Gradle suite","Gradle test","com.jalasoft.todoly.projects.ProjectUnauthorizedTests","com.jalasoft.todoly.projects.ProjectUnauthorizedTests","getAllProjectsInvalidUserName","getAllProjectsInvalidUserName",""
"passed","Wed Jun 29 20:17:56 GMT 2022","Wed Jun 29 20:17:56 GMT 2022","200","Gradle suite","Gradle test","com.jalasoft.todoly.projects.CreateNewProjectTests","com.jalasoft.todoly.projects.CreateNewProjectTests","createNewProjectEmptyContent","createNewProjectEmptyContent",""
"failed","Wed Jun 29 20:18:02 GMT 2022","Wed Jun 29 20:18:02 GMT 2022","188","Gradle suite","Gradle test","com.jalasoft.todoly.user.UserBugs","com.jalasoft.todoly.user.UserBugs","userInvalidRequestBug","userInvalidRequestBug",""
"passed","Wed Jun 29 20:18:03 GMT 2022","Wed Jun 29 20:18:03 GMT 2022","181","Gradle suite","Gradle test","com.jalasoft.todoly.user.UserErrorCodesTest","com.jalasoft.todoly.user.UserErrorCodesTest","userInvalidFullName","userInvalidFullName",""
"passed","Wed Jun 29 20:17:50 GMT 2022","Wed Jun 29 20:17:50 GMT 2022","184","Gradle suite","Gradle test","com.jalasoft.todoly.items.ErrorMessageTests","com.jalasoft.todoly.items.ErrorMessageTests","youDontHaveAccessToThisItem","youDontHaveAccessToThisItem",""
"passed","Wed Jun 29 20:17:55 GMT 2022","Wed Jun 29 20:17:55 GMT 2022","220","Gradle suite","Gradle test","com.jalasoft.todoly.items.ItemTests","com.jalasoft.todoly.items.ItemTests","deleteItemById","deleteItemById",""
"passed","Wed Jun 29 20:17:55 GMT 2022","Wed Jun 29 20:17:56 GMT 2022","334","Gradle suite","Gradle test","com.jalasoft.todoly.items.ItemTests","com.jalasoft.todoly.items.ItemTests","updateItemById","updateItemById",""
