"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 28 03:00:42 GMT 2022","Tue Jun 28 03:00:42 GMT 2022","582","Gradle suite","Gradle test","com.jalasoft.todoly.filters.FiltersTest","com.jalasoft.todoly.filters.FiltersTest","getAllFilters","getAllFilters",""
"passed","Tue Jun 28 03:00:36 GMT 2022","Tue Jun 28 03:00:36 GMT 2022","477","Gradle suite","Gradle test","com.jalasoft.todoly.user.UserErrorCodesTest","com.jalasoft.todoly.user.UserErrorCodesTest","userInvalidFullName","userInvalidFullName",""
"passed","Tue Jun 28 03:00:24 GMT 2022","Tue Jun 28 03:00:24 GMT 2022","475","Gradle suite","Gradle test","com.jalasoft.todoly.projects.GetAllProjectsTests","com.jalasoft.todoly.projects.GetAllProjectsTests","getAllProjects","getAllProjects",""
"passed","Tue Jun 28 03:00:35 GMT 2022","Tue Jun 28 03:00:36 GMT 2022","444","Gradle suite","Gradle test","com.jalasoft.todoly.user.UserErrorCodesTest","com.jalasoft.todoly.user.UserErrorCodesTest","userAccountAlreadyExists","userAccountAlreadyExists",""
"passed","Tue Jun 28 03:00:12 GMT 2022","Tue Jun 28 03:00:14 GMT 2022","1396","Gradle suite","Gradle test","com.jalasoft.todoly.authentication.AuthenticationTests","com.jalasoft.todoly.authentication.AuthenticationTests","deleteInvalidTokenWithBasicAuthentication","deleteInvalidTokenWithBasicAuthentication",""
"passed","Tue Jun 28 03:00:19 GMT 2022","Tue Jun 28 03:00:19 GMT 2022","493","Gradle suite","Gradle test","com.jalasoft.todoly.icons.IconsTests","com.jalasoft.todoly.icons.IconsTests","getIconById","getIconById",""
"passed","Tue Jun 28 03:00:27 GMT 2022","Tue Jun 28 03:00:28 GMT 2022","930","Gradle suite","Gradle test","com.jalasoft.todoly.projects.GetItemsOfAProjectTests","com.jalasoft.todoly.projects.GetItemsOfAProjectTests","getItemsOfAProjectById","getItemsOfAProjectById",""
"passed","Tue Jun 28 03:00:16 GMT 2022","Tue Jun 28 03:00:17 GMT 2022","482","Gradle suite","Gradle test","com.jalasoft.todoly.authentication.AuthenticationTests","com.jalasoft.todoly.authentication.AuthenticationTests","getTokenWithNonExistentUserName","getTokenWithNonExistentUserName",""
"passed","Tue Jun 28 03:00:30 GMT 2022","Tue Jun 28 03:00:30 GMT 2022","458","Gradle suite","Gradle test","com.jalasoft.todoly.projects.ProjectUnauthorizedTests","com.jalasoft.todoly.projects.ProjectUnauthorizedTests","getAllProjectsInvalidPassword","getAllProjectsInvalidPassword",""
"passed","Tue Jun 28 03:00:40 GMT 2022","Tue Jun 28 03:00:40 GMT 2022","476","Gradle suite","Gradle test","com.jalasoft.todoly.filters.DoneItemsOfAFilterTests","com.jalasoft.todoly.filters.DoneItemsOfAFilterTests","getDoneItemsOfAFilter","getDoneItemsOfAFilter",""
"passed","Tue Jun 28 03:00:41 GMT 2022","Tue Jun 28 03:00:42 GMT 2022","467","Gradle suite","Gradle test","com.jalasoft.todoly.filters.FiltersInvalidIdTests","com.jalasoft.todoly.filters.FiltersInvalidIdTests","getFiltersByIdWithInvalidId","getFiltersByIdWithInvalidId",""
"passed","Tue Jun 28 03:00:44 GMT 2022","Tue Jun 28 03:00:44 GMT 2022","466","Gradle suite","Gradle test","com.jalasoft.todoly.filters.FiltersUnauthorizedTests","com.jalasoft.todoly.filters.FiltersUnauthorizedTests","getItemsOfAFilter","getItemsOfAFilter",""
"passed","Tue Jun 28 03:00:25 GMT 2022","Tue Jun 28 03:00:25 GMT 2022","507","Gradle suite","Gradle test","com.jalasoft.todoly.projects.GetDoneItemsOfAProjectTests","com.jalasoft.todoly.projects.GetDoneItemsOfAProjectTests","getDoneItemsOfAProjectById","getDoneItemsOfAProjectById",""
"passed","Tue Jun 28 03:00:43 GMT 2022","Tue Jun 28 03:00:43 GMT 2022","489","Gradle suite","Gradle test","com.jalasoft.todoly.filters.FiltersUnauthorizedTests","com.jalasoft.todoly.filters.FiltersUnauthorizedTests","getDoneItemsOfAFilter","getDoneItemsOfAFilter",""
"passed","Tue Jun 28 03:00:39 GMT 2022","Tue Jun 28 03:00:39 GMT 2022","443","Gradle suite","Gradle test","com.jalasoft.todoly.user.UserTest","com.jalasoft.todoly.user.UserTest","getUser","getUser",""
"passed","Tue Jun 28 03:00:44 GMT 2022","Tue Jun 28 03:00:44 GMT 2022","452","Gradle suite","Gradle test","com.jalasoft.todoly.filters.ItemsOfAFilterTests","com.jalasoft.todoly.filters.ItemsOfAFilterTests","getAllItemsOfFilter","getAllItemsOfFilter",""
