"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 29 16:28:05 GMT 2022","Wed Jun 29 16:28:05 GMT 2022","454","Gradle suite","Gradle test","com.jalasoft.todoly.filters.FiltersTest","com.jalasoft.todoly.filters.FiltersTest","getAllFilters","getAllFilters",""
"passed","Wed Jun 29 16:27:29 GMT 2022","Wed Jun 29 16:27:30 GMT 2022","484","Gradle suite","Gradle test","com.jalasoft.todoly.items.ErrorMessageTests","com.jalasoft.todoly.items.ErrorMessageTests","youDontHaveAccessToThisItem","youDontHaveAccessToThisItem",""
"passed","Wed Jun 29 16:27:46 GMT 2022","Wed Jun 29 16:27:46 GMT 2022","476","Gradle suite","Gradle test","com.jalasoft.todoly.projects.GetAllProjectsTests","com.jalasoft.todoly.projects.GetAllProjectsTests","getAllProjects","getAllProjects",""
"passed","Wed Jun 29 16:28:06 GMT 2022","Wed Jun 29 16:28:07 GMT 2022","493","Gradle suite","Gradle test","com.jalasoft.todoly.filters.FiltersUnauthorizedTests","com.jalasoft.todoly.filters.FiltersUnauthorizedTests","getFiltersById","getFiltersById",""
"passed","Wed Jun 29 16:28:00 GMT 2022","Wed Jun 29 16:28:01 GMT 2022","1016","Gradle suite","Gradle test","com.jalasoft.todoly.user.UserTest","com.jalasoft.todoly.user.UserTest","createUser","createUser",""
"failed","Wed Jun 29 16:27:57 GMT 2022","Wed Jun 29 16:27:58 GMT 2022","498","Gradle suite","Gradle test","com.jalasoft.todoly.user.UserBugs","com.jalasoft.todoly.user.UserBugs","userInvalidRequestBug","userInvalidRequestBug",""
"passed","Wed Jun 29 16:27:40 GMT 2022","Wed Jun 29 16:27:41 GMT 2022","512","Gradle suite","Gradle test","com.jalasoft.todoly.items.ItemTests","com.jalasoft.todoly.items.ItemTests","deleteItemById","deleteItemById",""
"passed","Wed Jun 29 16:28:02 GMT 2022","Wed Jun 29 16:28:03 GMT 2022","486","Gradle suite","Gradle test","com.jalasoft.todoly.user.UserTest","com.jalasoft.todoly.user.UserTest","updateUser","updateUser",""
"passed","Wed Jun 29 16:27:18 GMT 2022","Wed Jun 29 16:27:19 GMT 2022","503","Gradle suite","Gradle test","com.jalasoft.todoly.authentication.AuthenticationTests","com.jalasoft.todoly.authentication.AuthenticationTests","basicAuthenticationWithNonExistentUsername","basicAuthenticationWithNonExistentUsername",""
"passed","Wed Jun 29 16:28:02 GMT 2022","Wed Jun 29 16:28:02 GMT 2022","465","Gradle suite","Gradle test","com.jalasoft.todoly.user.UserTest","com.jalasoft.todoly.user.UserTest","getUser","getUser",""
"passed","Wed Jun 29 16:27:47 GMT 2022","Wed Jun 29 16:27:48 GMT 2022","482","Gradle suite","Gradle test","com.jalasoft.todoly.projects.GetDoneItemsOfAProjectTests","com.jalasoft.todoly.projects.GetDoneItemsOfAProjectTests","getDoneItemsOfAProjectById","getDoneItemsOfAProjectById",""
"passed","Wed Jun 29 16:27:25 GMT 2022","Wed Jun 29 16:27:26 GMT 2022","499","Gradle suite","Gradle test","com.jalasoft.todoly.icons.IconsTests","com.jalasoft.todoly.icons.IconsTests","getIconById","getIconById",""
"passed","Wed Jun 29 16:27:43 GMT 2022","Wed Jun 29 16:27:44 GMT 2022","496","Gradle suite","Gradle test","com.jalasoft.todoly.projects.CreateNewProjectTests","com.jalasoft.todoly.projects.CreateNewProjectTests","createNewProject","createNewProject",""
"passed","Wed Jun 29 16:27:51 GMT 2022","Wed Jun 29 16:27:52 GMT 2022","495","Gradle suite","Gradle test","com.jalasoft.todoly.projects.GetProjectByIdTests","com.jalasoft.todoly.projects.GetProjectByIdTests","getProjectById","getProjectById",""
"passed","Wed Jun 29 16:28:03 GMT 2022","Wed Jun 29 16:28:03 GMT 2022","460","Gradle suite","Gradle test","com.jalasoft.todoly.filters.DoneItemsOfAFilterTests","com.jalasoft.todoly.filters.DoneItemsOfAFilterTests","getDoneItemsOfAFilter","getDoneItemsOfAFilter",""
"passed","Wed Jun 29 16:27:58 GMT 2022","Wed Jun 29 16:27:59 GMT 2022","474","Gradle suite","Gradle test","com.jalasoft.todoly.user.UserErrorCodesTest","com.jalasoft.todoly.user.UserErrorCodesTest","userAccountAlreadyExists","userAccountAlreadyExists",""
"passed","Wed Jun 29 16:27:28 GMT 2022","Wed Jun 29 16:27:29 GMT 2022","488","Gradle suite","Gradle test","com.jalasoft.todoly.items.ErrorMessageTests","com.jalasoft.todoly.items.ErrorMessageTests","invalidParentItemId","invalidParentItemId",""
"broken","Wed Jun 29 16:27:37 GMT 2022","Wed Jun 29 16:27:37 GMT 2022","473","Gradle suite","Gradle test","com.jalasoft.todoly.items.ItemBugs","com.jalasoft.todoly.items.ItemBugs","getItemByIdWithNegativeId","getItemByIdWithNegativeId",""
"passed","Wed Jun 29 16:27:41 GMT 2022","Wed Jun 29 16:27:42 GMT 2022","504","Gradle suite","Gradle test","com.jalasoft.todoly.items.ItemTests","com.jalasoft.todoly.items.ItemTests","getItemById","getItemById",""
"passed","Wed Jun 29 16:28:07 GMT 2022","Wed Jun 29 16:28:07 GMT 2022","493","Gradle suite","Gradle test","com.jalasoft.todoly.filters.FiltersUnauthorizedTests","com.jalasoft.todoly.filters.FiltersUnauthorizedTests","getItemsOfAFilter","getItemsOfAFilter",""
"passed","Wed Jun 29 16:27:54 GMT 2022","Wed Jun 29 16:27:55 GMT 2022","496","Gradle suite","Gradle test","com.jalasoft.todoly.projects.UpdateProjectByIdTest","com.jalasoft.todoly.projects.UpdateProjectByIdTest","updateProjectById","updateProjectById",""
"passed","Wed Jun 29 16:27:59 GMT 2022","Wed Jun 29 16:28:00 GMT 2022","475","Gradle suite","Gradle test","com.jalasoft.todoly.user.UserErrorCodesTest","com.jalasoft.todoly.user.UserErrorCodesTest","userNotAuthenticated","userNotAuthenticated",""
"passed","Wed Jun 29 16:27:53 GMT 2022","Wed Jun 29 16:27:53 GMT 2022","476","Gradle suite","Gradle test","com.jalasoft.todoly.projects.ProjectUnauthorizedTests","com.jalasoft.todoly.projects.ProjectUnauthorizedTests","getAllProjectsInvalidUserName","getAllProjectsInvalidUserName",""
"passed","Wed Jun 29 16:28:06 GMT 2022","Wed Jun 29 16:28:06 GMT 2022","502","Gradle suite","Gradle test","com.jalasoft.todoly.filters.FiltersUnauthorizedTests","com.jalasoft.todoly.filters.FiltersUnauthorizedTests","getDoneItemsOfAFilter","getDoneItemsOfAFilter",""
