"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 29 15:33:53 GMT 2022","Wed Jun 29 15:33:53 GMT 2022","250","Gradle suite","Gradle test","com.jalasoft.todoly.items.ItemTests","com.jalasoft.todoly.items.ItemTests","getItemById","getItemById",""
"passed","Wed Jun 29 15:34:06 GMT 2022","Wed Jun 29 15:34:06 GMT 2022","225","Gradle suite","Gradle test","com.jalasoft.todoly.filters.FiltersUnauthorizedTests","com.jalasoft.todoly.filters.FiltersUnauthorizedTests","getFiltersById","getFiltersById",""
"passed","Wed Jun 29 15:33:54 GMT 2022","Wed Jun 29 15:33:55 GMT 2022","239","Gradle suite","Gradle test","com.jalasoft.todoly.projects.CreateNewProjectTests","com.jalasoft.todoly.projects.CreateNewProjectTests","createNewProjectEmptyContent","createNewProjectEmptyContent",""
"passed","Wed Jun 29 15:33:58 GMT 2022","Wed Jun 29 15:33:59 GMT 2022","287","Gradle suite","Gradle test","com.jalasoft.todoly.projects.GetProjectByIdTests","com.jalasoft.todoly.projects.GetProjectByIdTests","getProjectById","getProjectById",""
"failed","Wed Jun 29 15:34:01 GMT 2022","Wed Jun 29 15:34:01 GMT 2022","218","Gradle suite","Gradle test","com.jalasoft.todoly.user.UserBugs","com.jalasoft.todoly.user.UserBugs","userGetWithBodyBug","userGetWithBodyBug",""
"passed","Wed Jun 29 15:33:53 GMT 2022","Wed Jun 29 15:33:53 GMT 2022","230","Gradle suite","Gradle test","com.jalasoft.todoly.items.ItemTests","com.jalasoft.todoly.items.ItemTests","deleteItemById","deleteItemById",""
"passed","Wed Jun 29 15:33:43 GMT 2022","Wed Jun 29 15:33:43 GMT 2022","257","Gradle suite","Gradle test","com.jalasoft.todoly.authentication.AuthenticationTests","com.jalasoft.todoly.authentication.AuthenticationTests","getTokenWithBasicAuthentication","getTokenWithBasicAuthentication",""
"passed","Wed Jun 29 15:33:54 GMT 2022","Wed Jun 29 15:33:54 GMT 2022","263","Gradle suite","Gradle test","com.jalasoft.todoly.projects.CreateNewProjectTests","com.jalasoft.todoly.projects.CreateNewProjectTests","createNewProject","createNewProject",""
"passed","Wed Jun 29 15:33:47 GMT 2022","Wed Jun 29 15:33:47 GMT 2022","225","Gradle suite","Gradle test","com.jalasoft.todoly.items.ErrorMessageTests","com.jalasoft.todoly.items.ErrorMessageTests","invalidParentItemId","invalidParentItemId",""
"passed","Wed Jun 29 15:33:56 GMT 2022","Wed Jun 29 15:33:56 GMT 2022","266","Gradle suite","Gradle test","com.jalasoft.todoly.projects.GetAllProjectsTests","com.jalasoft.todoly.projects.GetAllProjectsTests","getAllProjects","getAllProjects",""
"failed","Wed Jun 29 15:34:01 GMT 2022","Wed Jun 29 15:34:01 GMT 2022","273","Gradle suite","Gradle test","com.jalasoft.todoly.user.UserBugs","com.jalasoft.todoly.user.UserBugs","userContentLowerCaseBug","userContentLowerCaseBug",""
"passed","Wed Jun 29 15:33:40 GMT 2022","Wed Jun 29 15:33:41 GMT 2022","1169","Gradle suite","Gradle test","com.jalasoft.todoly.authentication.AuthenticationTests","com.jalasoft.todoly.authentication.AuthenticationTests","basicAuthentication","basicAuthentication",""
"passed","Wed Jun 29 15:33:52 GMT 2022","Wed Jun 29 15:33:53 GMT 2022","264","Gradle suite","Gradle test","com.jalasoft.todoly.items.ItemTests","com.jalasoft.todoly.items.ItemTests","createNewItem","createNewItem",""
"passed","Wed Jun 29 15:34:04 GMT 2022","Wed Jun 29 15:34:05 GMT 2022","240","Gradle suite","Gradle test","com.jalasoft.todoly.filters.FiltersInvalidIdTests","com.jalasoft.todoly.filters.FiltersInvalidIdTests","getDoneItemsOfAFilterWithInvalidId","getDoneItemsOfAFilterWithInvalidId",""
"broken","Wed Jun 29 15:33:51 GMT 2022","Wed Jun 29 15:33:51 GMT 2022","244","Gradle suite","Gradle test","com.jalasoft.todoly.items.ItemBugs","com.jalasoft.todoly.items.ItemBugs","getItemByIdWithNonExistentId","getItemByIdWithNonExistentId",""
"passed","Wed Jun 29 15:33:57 GMT 2022","Wed Jun 29 15:33:58 GMT 2022","504","Gradle suite","Gradle test","com.jalasoft.todoly.projects.GetItemsOfAProjectTests","com.jalasoft.todoly.projects.GetItemsOfAProjectTests","getItemsOfAProjectById","getItemsOfAProjectById",""
"passed","Wed Jun 29 15:34:02 GMT 2022","Wed Jun 29 15:34:02 GMT 2022","249","Gradle suite","Gradle test","com.jalasoft.todoly.user.UserErrorCodesTest","com.jalasoft.todoly.user.UserErrorCodesTest","userAccountAlreadyExists","userAccountAlreadyExists",""
"passed","Wed Jun 29 15:34:02 GMT 2022","Wed Jun 29 15:34:03 GMT 2022","483","Gradle suite","Gradle test","com.jalasoft.todoly.user.UserTest","com.jalasoft.todoly.user.UserTest","createUser","createUser",""
"passed","Wed Jun 29 15:33:44 GMT 2022","Wed Jun 29 15:33:44 GMT 2022","245","Gradle suite","Gradle test","com.jalasoft.todoly.authentication.AuthenticationTests","com.jalasoft.todoly.authentication.AuthenticationTests","getTokenWithUserNameAndInvalidPassword","getTokenWithUserNameAndInvalidPassword",""
