"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jun 27 20:03:12 GMT 2022","Mon Jun 27 20:03:12 GMT 2022","228","Gradle suite","Gradle test","com.jalasoft.todoly.user.UserBugs","com.jalasoft.todoly.user.UserBugs","userContentLowerCaseBug","userContentLowerCaseBug",""
"passed","Mon Jun 27 20:03:05 GMT 2022","Mon Jun 27 20:03:05 GMT 2022","277","Gradle suite","Gradle test","com.jalasoft.todoly.icons.IconsTests","com.jalasoft.todoly.icons.IconsTests","getIconByNonExistentId","getIconByNonExistentId",""
"passed","Mon Jun 27 20:03:16 GMT 2022","Mon Jun 27 20:03:16 GMT 2022","246","Gradle suite","Gradle test","com.jalasoft.todoly.filters.FiltersTest","com.jalasoft.todoly.filters.FiltersTest","getAllFilters","getAllFilters",""
"passed","Mon Jun 27 20:03:13 GMT 2022","Mon Jun 27 20:03:13 GMT 2022","227","Gradle suite","Gradle test","com.jalasoft.todoly.user.UserErrorCodesTest","com.jalasoft.todoly.user.UserErrorCodesTest","userInvalidFullName","userInvalidFullName",""
"failed","Mon Jun 27 20:03:13 GMT 2022","Mon Jun 27 20:03:13 GMT 2022","263","Gradle suite","Gradle test","com.jalasoft.todoly.user.UserBugs","com.jalasoft.todoly.user.UserBugs","userPostWithIncorrectPayloadBug","userPostWithIncorrectPayloadBug",""
"passed","Mon Jun 27 20:03:15 GMT 2022","Mon Jun 27 20:03:16 GMT 2022","231","Gradle suite","Gradle test","com.jalasoft.todoly.filters.FiltersByIdTests","com.jalasoft.todoly.filters.FiltersByIdTests","getFiltersById","getFiltersById",""
"passed","Mon Jun 27 20:03:09 GMT 2022","Mon Jun 27 20:03:10 GMT 2022","311","Gradle suite","Gradle test","com.jalasoft.todoly.projects.GetProjectByIdTests","com.jalasoft.todoly.projects.GetProjectByIdTests","getProjectById","getProjectById",""
"passed","Mon Jun 27 20:03:06 GMT 2022","Mon Jun 27 20:03:06 GMT 2022","268","Gradle suite","Gradle test","com.jalasoft.todoly.projects.DeleteProjectByIdTests","com.jalasoft.todoly.projects.DeleteProjectByIdTests","deleteProjectById","deleteProjectById",""
"passed","Mon Jun 27 20:03:02 GMT 2022","Mon Jun 27 20:03:02 GMT 2022","267","Gradle suite","Gradle test","com.jalasoft.todoly.authentication.AuthenticationTests","com.jalasoft.todoly.authentication.AuthenticationTests","getTokenWithBasicAuthentication","getTokenWithBasicAuthentication",""
"broken","Mon Jun 27 20:03:02 GMT 2022","Mon Jun 27 20:03:02 GMT 2022","532","Gradle suite","Gradle test","com.jalasoft.todoly.authentication.AuthenticationTests","com.jalasoft.todoly.authentication.AuthenticationTests","deleteTokenWithoutAuthentication","deleteTokenWithoutAuthentication",""
"failed","Mon Jun 27 20:03:04 GMT 2022","Mon Jun 27 20:03:04 GMT 2022","265","Gradle suite","Gradle test","com.jalasoft.todoly.icons.IconsTests","com.jalasoft.todoly.icons.IconsTests","getIconByIdWithInvalidId","getIconByIdWithInvalidId",""
"passed","Mon Jun 27 20:03:05 GMT 2022","Mon Jun 27 20:03:05 GMT 2022","501","Gradle suite","Gradle test","com.jalasoft.todoly.projects.CreateNewProjectTests","com.jalasoft.todoly.projects.CreateNewProjectTests","createNewProject","createNewProject",""
"passed","Mon Jun 27 20:03:14 GMT 2022","Mon Jun 27 20:03:14 GMT 2022","541","Gradle suite","Gradle test","com.jalasoft.todoly.user.UserTest","com.jalasoft.todoly.user.UserTest","createUser","createUser",""
"passed","Mon Jun 27 20:03:15 GMT 2022","Mon Jun 27 20:03:15 GMT 2022","218","Gradle suite","Gradle test","com.jalasoft.todoly.filters.DoneItemsOfAFilterTests","com.jalasoft.todoly.filters.DoneItemsOfAFilterTests","getDoneItemsOfAFilter","getDoneItemsOfAFilter",""
"passed","Mon Jun 27 20:03:17 GMT 2022","Mon Jun 27 20:03:18 GMT 2022","233","Gradle suite","Gradle test","com.jalasoft.todoly.filters.ItemsOfAFilterTests","com.jalasoft.todoly.filters.ItemsOfAFilterTests","getAllItemsOfFilter","getAllItemsOfFilter",""
"passed","Mon Jun 27 20:03:17 GMT 2022","Mon Jun 27 20:03:17 GMT 2022","268","Gradle suite","Gradle test","com.jalasoft.todoly.filters.FiltersUnauthorizedTests","com.jalasoft.todoly.filters.FiltersUnauthorizedTests","getItemsOfAFilter","getItemsOfAFilter",""
"passed","Mon Jun 27 20:03:01 GMT 2022","Mon Jun 27 20:03:02 GMT 2022","547","Gradle suite","Gradle test","com.jalasoft.todoly.authentication.AuthenticationTests","com.jalasoft.todoly.authentication.AuthenticationTests","deleteTokenWithBasicAuthentication","deleteTokenWithBasicAuthentication",""
"passed","Mon Jun 27 20:03:03 GMT 2022","Mon Jun 27 20:03:04 GMT 2022","542","Gradle suite","Gradle test","com.jalasoft.todoly.authentication.AuthenticationTests","com.jalasoft.todoly.authentication.AuthenticationTests","isAuthenticatedWithValidToken","isAuthenticatedWithValidToken",""
"passed","Mon Jun 27 20:03:04 GMT 2022","Mon Jun 27 20:03:05 GMT 2022","258","Gradle suite","Gradle test","com.jalasoft.todoly.icons.IconsTests","com.jalasoft.todoly.icons.IconsTests","getIconByIdWithoutAuthentication","getIconByIdWithoutAuthentication",""
"failed","Mon Jun 27 20:03:12 GMT 2022","Mon Jun 27 20:03:12 GMT 2022","279","Gradle suite","Gradle test","com.jalasoft.todoly.user.UserBugs","com.jalasoft.todoly.user.UserBugs","userGetWithBodyBug","userGetWithBodyBug",""
"passed","Mon Jun 27 20:03:10 GMT 2022","Mon Jun 27 20:03:10 GMT 2022","254","Gradle suite","Gradle test","com.jalasoft.todoly.projects.ProjectUnauthorizedTests","com.jalasoft.todoly.projects.ProjectUnauthorizedTests","getAllProjectsInvalidUserName","getAllProjectsInvalidUserName",""
"failed","Mon Jun 27 20:03:12 GMT 2022","Mon Jun 27 20:03:13 GMT 2022","244","Gradle suite","Gradle test","com.jalasoft.todoly.user.UserBugs","com.jalasoft.todoly.user.UserBugs","userInvalidRequestBug","userInvalidRequestBug",""
"passed","Mon Jun 27 20:03:03 GMT 2022","Mon Jun 27 20:03:03 GMT 2022","258","Gradle suite","Gradle test","com.jalasoft.todoly.authentication.AuthenticationTests","com.jalasoft.todoly.authentication.AuthenticationTests","getTokenWithUserNameAndInvalidPassword","getTokenWithUserNameAndInvalidPassword",""
"passed","Mon Jun 27 20:03:13 GMT 2022","Mon Jun 27 20:03:13 GMT 2022","210","Gradle suite","Gradle test","com.jalasoft.todoly.user.UserErrorCodesTest","com.jalasoft.todoly.user.UserErrorCodesTest","userAccountAlreadyExists","userAccountAlreadyExists",""
"passed","Mon Jun 27 20:03:00 GMT 2022","Mon Jun 27 20:03:01 GMT 2022","1015","Gradle suite","Gradle test","com.jalasoft.todoly.authentication.AuthenticationTests","com.jalasoft.todoly.authentication.AuthenticationTests","deleteInvalidTokenWithBasicAuthentication","deleteInvalidTokenWithBasicAuthentication",""
"passed","Mon Jun 27 20:03:16 GMT 2022","Mon Jun 27 20:03:16 GMT 2022","239","Gradle suite","Gradle test","com.jalasoft.todoly.filters.FiltersInvalidIdTests","com.jalasoft.todoly.filters.FiltersInvalidIdTests","getFiltersByIdWithInvalidId","getFiltersByIdWithInvalidId",""
"passed","Mon Jun 27 20:03:14 GMT 2022","Mon Jun 27 20:03:15 GMT 2022","501","Gradle suite","Gradle test","com.jalasoft.todoly.user.UserTest","com.jalasoft.todoly.user.UserTest","deleteUser","deleteUser",""
"passed","Mon Jun 27 20:02:58 GMT 2022","Mon Jun 27 20:03:00 GMT 2022","1427","Gradle suite","Gradle test","com.jalasoft.todoly.authentication.AuthenticationTests","com.jalasoft.todoly.authentication.AuthenticationTests","basicAuthentication","basicAuthentication",""
"passed","Mon Jun 27 20:03:15 GMT 2022","Mon Jun 27 20:03:15 GMT 2022","265","Gradle suite","Gradle test","com.jalasoft.todoly.user.UserTest","com.jalasoft.todoly.user.UserTest","updateUser","updateUser",""
"passed","Mon Jun 27 20:03:10 GMT 2022","Mon Jun 27 20:03:10 GMT 2022","258","Gradle suite","Gradle test","com.jalasoft.todoly.projects.ProjectUnauthorizedTests","com.jalasoft.todoly.projects.ProjectUnauthorizedTests","getAllProjectsInvalidPassword","getAllProjectsInvalidPassword",""
"passed","Mon Jun 27 20:03:03 GMT 2022","Mon Jun 27 20:03:03 GMT 2022","274","Gradle suite","Gradle test","com.jalasoft.todoly.authentication.AuthenticationTests","com.jalasoft.todoly.authentication.AuthenticationTests","getTokenWithoutAuthentication","getTokenWithoutAuthentication",""
"passed","Mon Jun 27 20:03:04 GMT 2022","Mon Jun 27 20:03:04 GMT 2022","263","Gradle suite","Gradle test","com.jalasoft.todoly.icons.IconsTests","com.jalasoft.todoly.icons.IconsTests","getIconById","getIconById",""
"passed","Mon Jun 27 20:03:17 GMT 2022","Mon Jun 27 20:03:17 GMT 2022","254","Gradle suite","Gradle test","com.jalasoft.todoly.filters.FiltersUnauthorizedTests","com.jalasoft.todoly.filters.FiltersUnauthorizedTests","getFiltersById","getFiltersById",""
"passed","Mon Jun 27 20:03:16 GMT 2022","Mon Jun 27 20:03:17 GMT 2022","269","Gradle suite","Gradle test","com.jalasoft.todoly.filters.FiltersUnauthorizedTests","com.jalasoft.todoly.filters.FiltersUnauthorizedTests","getAllFilters","getAllFilters",""
"passed","Mon Jun 27 20:03:13 GMT 2022","Mon Jun 27 20:03:14 GMT 2022","249","Gradle suite","Gradle test","com.jalasoft.todoly.user.UserErrorCodesTest","com.jalasoft.todoly.user.UserErrorCodesTest","userNotAuthenticated","userNotAuthenticated",""
